Directory,File_Name,Key_Theorems,Content_Summary
Mathlib/Data/Nat,GCD.lean,"gcd_comm, gcd_assoc, bezout, gcd_mul_lcm","定义了最大公约数(GCD)和最小公倍数(LCM)，证明了贝祖定理(Bezout's Identity)及其相关性质（教材第1章）。"
Mathlib/Data/Int,GCD.lean,"ofNat_gcd, gcd_mul_right","整数环上的GCD定义与贝祖定理的扩展，对应教材中关于整数整除性的讨论（教材第1章）。"
Mathlib/Data/Nat,Prime.lean,"Prime, exists_infinite_primes, Prime.dvd_mul","素数的定义、欧几里得引理(Euclid's Lemma)以及素数无限性定理（教材第2章）。"
Mathlib/Data/Nat,Factors.lean,"primeFactorsList, primeFactorsList_unique, prod_primeFactorsList","算术基本定理(Fundamental Theorem of Arithmetic)，即素数分解的存在性与唯一性（教材第2章）。"
Mathlib/NumberTheory,LucasLehmer.lean,"lucas_lehmer_sufficiency, Mersenne","卢卡斯-莱默检验法(Lucas-Lehmer Test)用于判定梅森数(Mersenne numbers)的素性（教材第2章）。"
Mathlib/Data/ZMod,Basic.lean,"ZMod, ZMod.commRing, ZMod.field","定义模n整数环(Integers mod n)及其环/域结构，对应同余运算的基础理论（教材第3章）。"
Mathlib/Data/Nat,ModEq.lean,"ModEq, ChineseRemainder","定义自然数上的同余关系(ModEq)及中国剩余定理(Chinese Remainder Theorem)（教材第3章）。"
Mathlib/NumberTheory/ArithmeticFunction,Carmichael.lean,"Carmichael, is_carmichael_iff","卡迈克尔数(Carmichael numbers)的定义与性质，对应伪素数相关讨论（教材第4章）。"
Mathlib/Data/Nat,Totient.lean,"totient, totient_mul, euler_theorem","欧拉函数(Euler's Phi)的定义、积性性质证明及欧拉定理(Euler's Theorem)（教材第5章）。"
Mathlib/Data/ZMod,Units.lean,"units_equiv_coprime, isCyclic_units","模n单位群(Group of Units)的结构，包括其循环群性质的讨论（教材第6章）。"
Mathlib/NumberTheory/LegendreSymbol,Basic.lean,"legendreSym, euler_criterion","勒让德符号(Legendre Symbol)的定义及欧拉判别法(Euler's Criterion)（教材第7章）。"
Mathlib/NumberTheory/LegendreSymbol,QuadraticReciprocity.lean,"quadratic_reciprocity","二次互反律(Law of Quadratic Reciprocity)及其辅助定理的完整证明（教材第7章）。"
Mathlib/NumberTheory,ArithmeticFunction.lean,"IsMultiplicative, mobius_inversion, Dirichlet.mul","算术函数的积性、莫比乌斯反演公式(Möbius Inversion)及狄利克雷卷积(Dirichlet Product)（教材第8章）。"
Mathlib/NumberTheory,ZetaFunction.lean,"riemannZeta, hasSum_zeta","黎曼Zeta函数的定义、级数收敛性及与素数分布的关系（教材第9章）。"
Mathlib/NumberTheory,ZetaValues.lean,"zeta_two, zeta_even","Zeta函数在偶数点的取值（如 ζ(2)=π²/6），对应教材中关于级数求值的讨论（教材第9章）。"
Mathlib/NumberTheory,SumTwoSquares.lean,"sum_two_squares_iff, zsqrtd_gaussian_int","费马二平方和定理(Fermat's Two Squares Theorem)，涉及高斯整数(Gaussian Integers)（教材第10章）。"
Mathlib/NumberTheory,SumFourSquares.lean,"sum_four_squares","拉格朗日四平方和定理(Lagrange's Four Squares Theorem)，证明每个正整数可表示为四个平方数之和（教材第10章）。"
Mathlib/NumberTheory,PythagoreanTriples.lean,"pythagoreanTriple_iff, isPrimitiveClassified","毕达哥拉斯三元组(Pythagorean Triples)的分类与参数化公式（教材第11章）。"
Mathlib/NumberTheory,Fermat4.lean,"not_fermat_4","费马大定理在 n=4 时的证明（Fermat's Last Theorem for n=4），通过无穷递降法证明（教材第11章）。"
